title,page
Eutaw Springs,3
"Epitaph - From ""The Fading Rose""",3
"Song of Thyrsis - In ""Female Frailty""",3
The Wild Honeysuckle,4
The Indian Burying-Ground,4
"Death's Epitaph - From ""The House of Night""",5
The Parting Glass,5
On the Ruins of a Country Inn,5
On a Travelling Speculator,6
The Scurrilous Scribe,6
To a Caty-Did,7
To a Honey Bee,7
Plato to Theon,8
The Yankee Man-of-War,8
The Smooth Divine,9
Love to the Church,10
Days of my Youth,10
Darby and Joan,11
The Fisherman's Hymn,12
The Blue-Bird,12
To Sally,13
The Lip and the Heart,13
Hail Columbia,14
Song,14
Sleighing Song,15
A Visit from St. Nicholas,15
The Star-Spangled Banner,16
The Old Man's Carousal,17
America to Great Britain,18
Rosalie,18
On the Late S. T. Coleridge,18
The Latter Day,19
In Sorrow,19
Exhortation,19
The Bucket,20
Loves she like me?,20
The Little Beach-Bird,21
Immortality,21
The Chanting Cherubs - A Group by Greenough,22
The Moss supplicateth for the Poet,22
Alice Ray,23
The Watcher,24
"The Demon-Lover - From ""Hadad""",24
Stanzas,27
A Farewell to America,27
To the Mocking-Bird,27
On Snow-Flakes melting on his Lady's Breast,28
On the Death of my Son Charles,28
Private Devotion,28
Hymn for the Dedication of a Church,29
Rocked in the Cradle of the Deep,29
The Scout's Defiance,29
A Name in the Sand,30
My Brigantine,30
The Fugitive Slave's Apostrophe to the North Star,33
Warren's Address to the American Soldiers,34
The Ballot,34
The Exile at Rest,34
The Pilgrim Fathers,35
My Child,35
Marco Bozzaris,36
On the Death of Joseph Rodman Drake,37
Alnwick Castle,37
Burns,39
Red Jacket,40
"From ""The Culprit Fay"": The Fay's Sentence",42
"From ""The Culprit Fay"": The First Quest",43
"From ""The Culprit Fay"": The Second Quest",44
"From ""The Culprit Fay"": Elfin Song",45
The American Flag,46
"""The Croakers"": The National Paintings - Colonel Trumbull's ""The Declaration of Independence""",46
"""The Croakers"": The Man who frets at Worldly Strife",47
"""The Croakers"": Ode to Fortune",47
Columbus,47
The Indian's Welcome to the Pilgrim Fathers,48
