section,author,title,page
I. Early Years of the Nation,Philip Freneau,Eutaw Springs,3
I. Early Years of the Nation,Philip Freneau,"Epitaph - From ""The Fading Rose""",3
I. Early Years of the Nation,Philip Freneau,"Song of Thyrsis - In ""Female Frailty""",3
I. Early Years of the Nation,Philip Freneau,The Wild Honeysuckle,4
I. Early Years of the Nation,Philip Freneau,The Indian Burying-Ground,4
I. Early Years of the Nation,Philip Freneau,"Death's Epitaph - From ""The House of Night""",5
I. Early Years of the Nation,Philip Freneau,The Parting Glass,5
I. Early Years of the Nation,Philip Freneau,On the Ruins of a Country Inn,5
I. Early Years of the Nation,Philip Freneau,On a Travelling Speculator,6
I. Early Years of the Nation,Philip Freneau,The Scurrilous Scribe,6
I. Early Years of the Nation,Philip Freneau,To a Caty-Did,7
I. Early Years of the Nation,Philip Freneau,To a Honey Bee,7
I. Early Years of the Nation,Philip Freneau,Plato to Theon,8
I. Early Years of the Nation,Author Unfound,The Yankee Man-of-War,8
I. Early Years of the Nation,Timothy Dwight,The Smooth Divine,9
I. Early Years of the Nation,Timothy Dwight,Love to the Church,10
I. Early Years of the Nation,St. George Tucker,Days of my Youth,10
I. Early Years of the Nation,St. John Honeywood,Darby and Joan,11
I. Early Years of the Nation,Alexander Wilson,The Fisherman's Hymn,12
I. Early Years of the Nation,Alexander Wilson,The Blue-Bird,12
I. Early Years of the Nation,John Quincy Adams,To Sally,13
I. Early Years of the Nation,John Quincy Adams,The Lip and the Heart,13
I. Early Years of the Nation,Joseph Hopkinson,Hail Columbia,14
I. Early Years of the Nation,John Shaw,Song,14
I. Early Years of the Nation,John Shaw,Sleighing Song,15
I. Early Years of the Nation,Clement Clarke Moore,A Visit from St. Nicholas,15
I. Early Years of the Nation,Francis Scott Key,The Star-Spangled Banner,16
I. Early Years of the Nation,James Kirke Paulding,The Old Man's Carousal,17
I. Early Years of the Nation,Washington Allston,America to Great Britain,18
I. Early Years of the Nation,Washington Allston,Rosalie,18
I. Early Years of the Nation,Washington Allston,On the Late S. T. Coleridge,18
I. Early Years of the Nation,Thomas Hastings,The Latter Day,19
I. Early Years of the Nation,Thomas Hastings,In Sorrow,19
I. Early Years of the Nation,Thomas Hastings,Exhortation,19
I. Early Years of the Nation,Samuel Woodworth,The Bucket,20
I. Early Years of the Nation,Samuel Woodworth,Loves she like me?,20
I. Early Years of the Nation,Richard Henry Dana,The Little Beach-Bird,21
I. Early Years of the Nation,Richard Henry Dana,Immortality,21
I. Early Years of the Nation,Richard Henry Dana,The Chanting Cherubs - A Group by Greenough,22
I. Early Years of the Nation,Richard Henry Dana,The Moss supplicateth for the Poet,22
I. Early Years of the Nation,Sarah Josepha Hale,Alice Ray,23
I. Early Years of the Nation,Sarah Josepha Hale,The Watcher,24
I. Early Years of the Nation,James Abraham Hillhouse,"The Demon-Lover - From ""Hadad""",24
I. Early Years of the Nation,Richard Henry Wilde,Stanzas,27
I. Early Years of the Nation,Richard Henry Wilde,A Farewell to America,27
I. Early Years of the Nation,Richard Henry Wilde,To the Mocking-Bird,27
I. Early Years of the Nation - Additional Selections,William Martin Johnson,On Snow-Flakes melting on his Lady's Breast,28
I. Early Years of the Nation - Additional Selections,Daniel Webster,On the Death of my Son Charles,28
I. Early Years of the Nation - Additional Selections,Phoebe Hinsdale Brown,Private Devotion,28
I. Early Years of the Nation - Additional Selections,Andrews Norton,Hymn for the Dedication of a Church,29
I. Early Years of the Nation - Additional Selections,Emma Hart Willard,Rocked in the Cradle of the Deep,29
I. Early Years of the Nation - Additional Selections,Lavinia Stoddard,The Scout's Defiance,29
I. Early Years of the Nation - Additional Selections,Hannah Flagg Gould,A Name in the Sand,30
I. Early Years of the Nation - Additional Selections,James Fenimore Cooper,My Brigantine,30
II. First Lyrical Period - Division I,John Pierpont,The Fugitive Slave's Apostrophe to the North Star,33
