Title,Page
PREFACE TO REVISED EDITION,3
PREFACE TO ORIGINAL EDITION,9
Paul Laurence Dunbar,49
A NEGRO LOVE SONG,52
LITTLE BROWN BABY,53
ERE SLEEP COMES DOWN,54
SHIPS THAT PASS IN THE NIGHT,56
LOVER'S LANE,56
THE DEBT,58
THE HAUNTED OAK,58
WHEN DE CO'N PONE'S HOT,61
A DEATH SONG,62
James Edwin Campbell,64
NEGRO SERENADE,65
DE CUNJAH MAN,65
UNCLE EPH'S BANJO SONG,67
OL' DOC' HYAR,67
WHEN OL' SIS' JUDY PRAY,69
COMPENSATION,70
James David Corrothers,72
AT THE CLOSED GATE OF JUSTICE,73
PAUL LAURENCE DUNBAR,73
THE NEGRO SINGER,74
THE ROAD TO THE BOW,75
IN THE MATTER OF TWO MEN,76
AN INDIGNATION DINNER,77
DREAM AND THE SONG,79
Daniel Webster Davis,81
'WEH DOWN SOUF',81
HOG MEAT,83
William H. A. Moore,85
DUSK SONG,85
IT WAS NOT FATE,87
W. E. Burghardt Du Bois,89
A LITANY OF ATLANTA,90
George Marion McClellan,95
THE HILLS OF SEWANEE,95
DOGWOOD BLOSSOMS,96
A BUTTERFLY IN CHURCH,97
THE FEET OF JUDAS,97
William Stanley Braithwaite,99
SANDY STAR AND WILLIE GEE,100
SANDY STAR AND WILLIE GEE: I. SCULPTURED WORSHIP,100
SANDY STAR AND WILLIE GEE: II. LAUGHING IT OUT,101
SANDY STAR AND WILLIE GEE: III. EXIT,101
SANDY STAR AND WILLIE GEE: IV. THE WAY,102
SANDY STAR AND WILLIE GEE: V. ONUS PROBANDI,102
DEL CASCAR,103
TURN ME TO MY YELLOW LEAVES,103
IRONIC: LL.D.,104
SCINTILLA,105
SIC VITA,105
RHAPSODY,106
George Reginald Margetson,107
STANZAS FROM The Fledgling Bard and the Poetry Society,108
James Weldon Johnson,114
THE CREATION,117
THE WHITE WITCH,120
SENCE YOU WENT AWAY,122
O BLACK AND UNKNOWN BARDS,123
MY CITY,125
"LISTEN, LORD",125
THE GLORY OF THE DAY WAS IN HER FACE,127
BROTHERS,127
STANZAS FROM Fifty Years,130
John Wesley Holloway,134
MISS MELERLEE,134
CALLING THE DOCTOR,135
THE CORN SONG,136
BLACK MAMMIES,138
Fenton Johnson,140
CHILDREN OF THE SUN,141
THE NEW DAY,142
TIRED,144
THE BANJO PLAYER,145
THE SCARLET WOMAN,145
LINES FROM The Vision of Lazarus,146
Edward Smyth Jones,147
A SONG OF THANKS,148
Benjamin Brawley,150
MY HERO,150
CHAUCER,151
Leslie Pinckney Hill,152
TUSKEGEE,153
CHRISTMAS AT MELROSE,153
SUMMER MAGIC,155
THE TEACHER,156
"""SO QUIETLY""",156
Alex Rogers,158
WHY ADAM SINNED,158
THE RAIN SONG,159
Waverly Turner Carmichael,162
"KEEP ME, JESUS, KEEP ME",162
WINTER IS COMING,163
Alice Dunbar Nelson,164
SONNET,164
Claude McKay,165
THE LYNCHING,168
IF WE MUST DIE,168
TO THE WHITE FIENDS,169
THE HARLEM DANCER,169
HARLEM SHADOWS,170
AFTER THE WINTER,171
SPRING IN NEW HAMPSHIRE,171
THE TIRED WORKER,172
THE BARRIER,172
TO O. E. A.,173
FLAME-HEART,174
COMMEMORATION,175
TWO-AN'-SIX,176
Georgia Douglas Johnson,181
THE HEART OF A WOMAN,181
YOUTH,182
LOST ILLUSIONS,182
I WANT TO DIE WHILE YOU LOVE ME,183
WELT,183
MY LITTLE DREAMS,184
"Joseph Seamon Cotter, Jr.",185
A PRAYER,185
AND WHAT SHALL YOU SAY?,186
IS IT BECAUSE I AM BLACK?,186
THE BAND OF GIDEON,187
RAIN MUSIC,188
SUPPLICATION,189
Ray Garfield Dandridge,190
TIME TO DIE,190
'ITTLE TOUZLE HEAD,191
ZALKA PEETRUZA,192
SPRIN' FEVAH,192
DE DRUM MAJAH,193
Roscoe Conkling Jamison,195
THE NEGRO SOLDIERS,195
R. Nathaniel Dett,196
THE RUBINSTEIN STACCATO ETUDE,196
Charles Bertram Johnson,198
A LITTLE CABIN,198
NEGRO POETS,199
"Joshua Henry Jones, Jr.",201
TO A SKULL,201
Otto Leland Bohanan,203
THE DAWN'S AWAKE!,203
THE WASHER-WOMAN,204
Jessie Redmond Fauset,205
LA VIE C'EST LA VIE,205
CHRISTMAS EVE IN FRANCE,206
DEAD FIRES,207
ORIFLAMME,207
OBLIVION,208
Theodore Henry Shackelford,209
THE BIG BELL IN ZION,209
Lucian B. Watkins,211
STAR OF ETHIOPIA,211
TWO POINTS OF VIEW,212
TO OUR FRIENDS,212
Anne Spencer,213
BEFORE THE FEAST OF SHUSHAN,213
AT THE CARNIVAL,215
THE WIFE-WOMAN,216
TRANSLATION,218
DUNBAR,218
Countee Cullen,219
HERITAGE,221
YOUTH SINGS A SONG OF ROSEBUDS,226
"TO JOHN KEATS, POET, AT SPRINGTIME",226
FROM THE DARK TOWER,228
TIMID LOVER,228
UNCLE JIM,229
BLACK MAGDALENS,230
TABLEAU,231
YET DO I MARVEL,231
Langston Hughes,232
BRASS SPITOONS,234
JAZZONIA,236
CROSS,236
PO' BOY BLUES,237
HARD DADDY,238
ESTHETE IN HARLEM,239
JAZZ BAND IN A PARISIAN CABARET,239
AS I GREW OLDER,240
THE NEGRO SPEAKS OF RIVERS,241
FANTASY IN PURPLE,242
Gwendolyn Bennett,243
TO A DARK GIRL,243
NOCTURNE,244
SONNET—2,244
HERITAGE,245
HATRED,246
Sterling Brown,247
ODYSSEY OF BIG BOY,248
SOUTHERN ROAD,250
MEMPHIS BLUES,252
LONG GONE,254
SLIM GREER,256
STRONG MEN,258
EFFIE,261
Arna Bontemps,262
A BLACK MAN TALKS OF REAPING,262
SOUTHERN MANSIONS,263
NOCTURNE OF THE WHARVES,263
BLIGHT,264
NOCTURNE AT BETHESDA,265
GOD GIVE TO MEN,267
Frank Horne,268
NIGGER—A CHANT FOR CHILDREN,268
MORE LETTERS FOUND NEAR A SUICIDE,270
ON SEEING TWO BROWN BOYS IN A CATHOLIC CHURCH,276
TOAST,277
TO A PERSISTENT PHANTOM,277
IMMORTALITY,278
Helene Johnson,279
POEM,279
