author,title,page
"Alfred, Lord Tennyson",The Lady of Shalott,967
"Alfred, Lord Tennyson",Sweet and Low,972
"Alfred, Lord Tennyson","Tears, Idle Tears",972
"Alfred, Lord Tennyson","Blow, Bugle, Blow",973
"Alfred, Lord Tennyson",Home They Brought Her Warrior Dead,973
"Alfred, Lord Tennyson",Now Sleeps the Crimson Petal,974
"Alfred, Lord Tennyson","O Swallow, Swallow",974
"Alfred, Lord Tennyson","Break, Break, Break",975
"Alfred, Lord Tennyson",In the Valley of Cauteretz,976
"Alfred, Lord Tennyson",Vivien's Song,976
"Alfred, Lord Tennyson",Enid's Song,976
"Alfred, Lord Tennyson",Ulysses,977
"Alfred, Lord Tennyson",Locksley Hall,979
"Alfred, Lord Tennyson",Morte d'Arthur,986
"Alfred, Lord Tennyson",The Lotos-Eaters,993
"Alfred, Lord Tennyson","You Ask Me, Why",998
"Alfred, Lord Tennyson",Love Thou Thy Land,999
"Alfred, Lord Tennyson",Sir Galahad,1002
"Alfred, Lord Tennyson",The Higher Pantheism,1004
"Alfred, Lord Tennyson",Flower in the Crannied Wall,1005
"Alfred, Lord Tennyson",Wages,1005
"Alfred, Lord Tennyson",The Charge of the Light Brigade,1005
"Alfred, Lord Tennyson",The Revenge,1007
"Alfred, Lord Tennyson",Rizpah,1011
"Alfred, Lord Tennyson",To Virgil,1014
"Alfred, Lord Tennyson",Maud,1015
"Alfred, Lord Tennyson",Crossing the Bar,1057
"Richard Monckton Milnes, Lord Houghton",Sonnet,1057
William Makepeace Thackeray,The End of the Play,1058
Charles Kingsley,Airly Beacon,1060
Charles Kingsley,The Sands of Dee,1061
Charles Kingsley,Young and Old,1062
Charles Kingsley,Ode to the North-East Wind,1062
J. Wilson (?),The Canadian Boat Song,1064
Robert Browning,Prospice,1065
Robert Browning,'How They Brought the Good News from Ghent to Aix' [16—],1066
Robert Browning,The Lost Leader,1067
Robert Browning,"Home-Thoughts, from Abroad",1068
Robert Browning,"Home-Thoughts, from the Sea",1069
Robert Browning,Parting at Morning,1069
Robert Browning,The Lost Mistress,1069
Robert Browning,The Last Ride Together,1070
Robert Browning,Pippa's Song,1073
Robert Browning,You'll Love Me Yet,1073
Robert Browning,My Last Duchess,1074
Robert Browning,The Bishop Orders His Tomb at Saint Praxed's Church,1075
Robert Browning,Evelyn Hope,1078
Robert Browning,A Toccata of Galuppi's,1080
Robert Browning,Memorabilia,1082
Robert Browning,The Patriot,1082
