Title,Page
General Introduction,xvii
Geoffrey Chaucer (1340-1400),1
Extracts from The Boke of the Duchesse,15
Troylus and Criseyde,16
The Parlement of Foules,36
The Hous of Fame,40
Prologue to the Legende of Goode Women,42
Prologue to the Canterbury Tales,46
The Tale of the Man of Lawe,50
The Clerkes Tale,61
The Frankeleynes Tale,62
The Knightes Tale,72
Good Counseil of Chaucer,80
Poems commonly attributed to Chaucer,82
Extracts from The Romaunt of the Rose,82
The Flower and the Leaf,85
The Court of Love,88
William Langley or Langland (born about 1332),91
Extracts from The Vision of Piers the Plowman,96
John Gower (1330-1408),102
Extracts from Cinkante Balades,107
Confessio Amantis:,
Prologue,107
Alexander and the Robber,109
The Story of Constance,110
John Lydgate (1370-1440),114
Extracts from London Lickpenny,116
The Dietary,121
Falls of Princes:,
Description of the Golden Age,123
Thomas Occleve (1365?-1450?),124
Extracts from De Regimine Principum,127
James the First of Scotland (1394-1437),129
Extract from The King's Quair,132
Poem from The Gude and Godlie Ballates,136
Robert Henryson (1425?-1480?),137
The Garmond of Fair Ladies,140
The Taill of the Lyoun and the Mous,141
William Dunbar (1450?-1513?),147
Extracts from The Thrissill and the Rois,151
The Goldyn Targe,152
The Dance of the Sevin Deidly Synnis,153
The Lament for the Makaris,157
Gawain Douglas (1474-1522),159
Extracts from The Palice of Honour:,
A Desert Terrible,163
The Fête Champêtre,166
A Ballade in Commendation of Honour,167
Extracts from the Aeneid:,
A Scottish Winter Landscape,164
The Ghost of Creusa,168
Dido's Hunting,170
Sleep,171
Spring,172
The Tribes of the Dead,173
The Destiny of Rome,173
Stephen Hawes (d. 1530?),175
Extracts from The Pastime of Pleasure:,
Dialogue between Graunde Amoure and La Pucel,178
Amoure laments the absence of La Pucel,179
The Character of a True Knight,181
Description of La Belle Pucel,182
John Skelton (1460?-1529),184
A Lullabye,186
Extract from The Bowge of Court:,
Picture of Riot,187
Extract from The Garlande of Laurell:,
To Maystress Margaret Hussey,187
Extract from Colyn Cloute,188
Sir David Lyndesay (1490?-1555?),192
Extracts from The Dreme,196
The Testament and Complaynt of the Papyngo,198
Ane Satire of the Threi Estaitis,199
Extracts from The Monarchie,201
The Hope of Immortality,202
Ballads,203
Historical Ballads:,
Sir Patrick Spens,210
Edom O'Gordon,213
Romantic Ballads:,
Glasgerion,218
The Douglas Tragedy,221
The Twa Corbies,224
Waly Waly,225
Supernatural Ballads:,
Clerk Saunders,226
The Wife of Usher's Well,230
A Lyke-Wake Dirge,232
Ballads of the Marches:,
Kinmont Willie,233
Robin Hood Ballads:,
Robin Hood rescuing the Widow's Three Sons,239
Robin Hood's Death and Burial,243
Domestic Ballads:,
The Bailiff's Daughter of Islington,246
Sir Thomas Wyatt (1503-1542),248
Extracts from Songs and Sonnets,251
Satires,253
The Earl of Surrey (1517?-1547),255
Description of Spring,257
A Complaint by Night of the Lover not beloved,257
Lines written in imprisonment at Windsor,258
The Means to attain Happy Life,259
A Praise of his Love,260
An Epitaph on Clere,261
On the Death of Sir Thomas Wyatt,261
George Gascoigne (1536?-1577),263
The Arraignment of a Lover,265
A Strange Passion of a Lover,266
Extracts from The Steel Glass:,
Piers Ploughman,267
Epilogus,268
"Thomas Sackville, Lord Buckhurst (1536-1608?)",270
Extract from The Induction,271
Complaint of the Duke of Buckingham,273
Sleep,274
Edmund Spenser (1552-1598),275
Extracts from The Shepheard's Calender:,
Fable of the Oak and the Briar,284
Chase after Love,287
Description of Maying,289
The Complaint of Age,290
Extracts from The Faerie Queene:,
The Red Cross Knight and Una,293
The House of Pride,296
Una's Marriage,298
Phaedria and the Idle Lake,300
The Cave of Mammon,305
The Bower of Bliss,313
The Gardens of Venus,315
Wooing of Amoret,317
The Quelling of the Blatant Beast,322
Claims of Mutability pleaded before Nature,329
Extract from the Teares of the Muses:,
Complaint of Thalia (Comedy),330
Sonnets,331
Epithalamion,333
Sir Philip Sidney (1554-1586),341
Sonnets from Astrophel and Stella,348
Songs from the Same,359
Philomela,361
A Dirge,362
Two Sonnets,363
Poems from The Arcadia,364
"Fulke Greville, Lord Brooke (1554-1628)",365
Extracts from Mustapha:,
Chorus of Tartars,369
Chorus of Priests,370
Chorus from Alaham,371
Extracts from Caelica:,
Seed-time and Harvest,372
Elizabetha Regina,373
Sonnet,373
An Elegy on Sir Philip Sidney,374
Sir Edward Dyer (1550?-1607?),375
My Mind to me a Kingdom is,377
To Phillis the Fair Shepherdess,378
Extracts from Sixe Idillia:,
Helen's Epithalamion,379
The Prayer of Theocritus for Syracuse,380
Henry Constable (1555-1615?),381
A Pastoral Song,382
The Shepherd's Song of Venus and Adonis,384
Sonnet to Sir Philip Sidney's Soul,388
Thomas Watson (1557?-1592?),389
Extracts from The Hecatompathia:,
Passion II,391
Passion XL,392
Passion LXV,393
John Lyly (1554-1606),394
Songs from Plays:,
Sappho's Song (from Sappho and Phao),396
Apelles' Song (from Alexander and Campaspe),396
Pan's Song (from Midas),397
George Peele (1558?-1592?),398
A Farewell to Sir John Norris and Sir Francis Drake,400
Robert Greene (1560?-1592?),402
Sephestia's Song to her Child,405
Samela,406
Fawnia,406
The Palmer's Ode in Never too Late,407
Song,408
Philomela's Ode,409
Orpheus' Song,410
Christopher Marlowe (1564-1593),411
The Passionate Shepherd to his Love,418
A Fragment,418
Extracts from the First Sestiad of Hero and Leander,419
Thomas Lodge (1556?-1625),424
Rosalynd's Madrigal,427
Rosader's description of Rosalynd,428
The Harmony of Love,429
Phillis' Sickness,429
Love's Wantonness,430
William Warner (1550?-1609),431
Extract from Albion's England:,
Before the Battle of Hastings,433
William Shakespeare (1564-1616),437
Extracts from Venus and Adonis,442
Lucrece,446
Sonnets,450
Songs from Plays:,
A Morning Song for Imogen (from Cymbeline),462
Silvia (from The Two Gentlemen of Verona),462
"Sigh no more, Ladies (from Much Ado about Nothing)",463
A Lover's Lament (from Twelfth Night),463
Ariel's Song (from The Tempest),464
A Sea Dirge (from The Tempest),464
In the Greenwood (from As You Like It),465
Winter (from Love's Labour's Lost),465
Song of Autolycus (from The Winter's Tale),466
Samuel Daniel (1562-1619),467
Sonnet to Delia,469
Extracts from The History of the Civil War:,
The Death of Talbot,469
"To the Lady Margaret, Countess of Cumberland",471
Extract from Hymen's Triumph,473
Richard Barnfield (1574-1627),474
Sonnet from Cynthia,476
Extracts from Poems in Divers Humors:,
Sonnet to his friend Maister R. L.,476
An Ode,477
Robert Southwell (1562?-1594),479
Times go by Turns,482
Loss in Delay,482
The Burning Babe,484
Extract from St. Peter's Complaint,484
Sir Walter Raleigh (1552-1618),486
A Vision upon this Conceit of The Fairy Queen,489
Reply to Marlowe's 'The Passionate Shepherd to His Love',489
The Lie,490
His Pilgrimage,492
Verses found in his Bible at the Gate-House at Westminster,494
Elizabethan Miscellanies,495
From The Paradyse of Dainty Devises:,
Amantium Irae (R. Edwards),498
From A Handefull of Pleasant Delites:,
A Proper Sonnet (Anon.),498
From The Arbor of Amorous Devises:,
A Sweet Lullaby (Anon.),500
From England's Helicon:,
A Palinode (Edmund Bolton),501
Phillida and Corydon (Nicholas Breton),502
To Colin Clout (Shepherd Tonie),503
"Phillida's Love-call to her Corydon, and his Replying (Ignoto)",503
From Davison's Poetical Rapsody:,
"A Fiction: how Cupid made a Nymph wound herself with his Arrows (Anon., but attributed to A. W.)",505
A Sonnet to the Moon (Charles Best),507
Sonnet (J. Sylvester),507
A Hymn in Praise of Neptune (T. Campion),508
