title,page_number
Geoffrey Chaucer,
The Prologue to the Canterbury Tales,11
The Nun's Priest's Tale,34
Traditional Ballads,
The Douglas Tragedy,51
The Twa Sisters,54
Edward,56
"Babylon: or, The Bonnie Banks o Fordie",58
Hind Horn,59
Lord Thomas and Fair Annet,61
Love Gregor,65
Bonny Barbara Allan,68
The Gay Goss-Hawk,69
The Three Ravens,73
The Twa Corbies,74
Sir Patrick Spence,74
Thomas Rymer and the Queen of Elfland,76
Sweet William's Ghost,78
The Wife of Usher's Well,80
Hugh of Lincoln,81
Young Bicham,84
Get Up and Bar the Door,87
The Battle of Otterburn,88
Chevy Chase,93
Johnie Armstrong,101
Captain Car,103
The Bonny Earl of Murray,107
Kinmont Willie,108
Bonnie George Campbell,114
The Dowy Houms o Yarrow,115
Mary Hamilton,117
The Baron of Brackley,119
Bewick and Grahame,121
A Gest of Robyn Hode,128
Anonymous,
Balow,186
The Old Cloak,188
Jolly Good Ale and Old,190
Sir Thomas Wyatt,
A Supplication,192
The Lover's Appeal,192
"Henry Howard, Earl of Surrey",
Complaint of the Absence of her Lover Being Upon the Sea,193
The Means to Attain Happy Life,194
George Gascoigne,
A Lover's Lullaby,195
Nicholas Breton,
Phillida and Coridon,196
Anonymous,
A Sweet Lullaby,197
Preparations,198
The Unfaithful Shepherdess,199
Anthony Munday,
Beauty Bathing,201
Richard Edwardes,
Amantium Irae,201
Sir Walter Raleigh,
His Pilgrimage,203
The Lie,204
Verses,207
What Is Our Life,207
Sir Edward Dyer,
My Mind to Me a Kingdom Is,207
John Lyly,
Cupid and Campaspe,209
Spring's Welcome,209
Sir Philip Sidney,
Song,210
A Dirge,211
A Ditty,212
Loving in Truth,212
"Be Your Words Made, Good Sir, of Indian Ware",213
To Sleep,213
To the Moon,214
Thomas Lodge,
Rosalind's Madrigal,214
Rosaline,215
Phillis,216
George Peele,
Paris and Œnone,217
Robert Southwell,
The Burning Babe,218
Samuel Daniel,
"Beauty, Time, and Love Sonnets",219
To Sleep,222
Michael Drayton,
Agincourt,222
To the Virginian Voyage,226
Love's Farewell,228
Henry Constable,
Diaphenia,228
Edmund Spenser,
Prothalamion,229
Epithalamion,234
A Ditty,245
Perigot and Willie's Roundelay,247
Easter,249
What Guile Is This?,249
Fair Is My Love,250
So Oft as I Her Beauty do Behold,250
Rudely Thou Wrongest My Dear Heart's Desire,250
One Day I Wrote Her Name Upon the Strand,251
"Like as the Culver, on the Bared Bough",251
William Habington,
To Roses in the Bosom of Castara,252
Nox Nocti Indicat Scientiam,252
Christopher Marlowe,
The Passionate Shepherd to His Love,254
Her Reply,255
Richard Rowlands,
Our Blessed Lady's Lullaby,256
Thomas Nashe,
In Time of Pestilence,260
Spring,261
William Shakespeare,
Winter,262
O Mistress Mine,262
Fancy,263
Under the Greenwood Tree,263
A Lover and His Lass,263
Silvia,264
Spring,264
Lullaby,265
Ophelia's Song,266
Where the Bee Sucks,266
Love's Perjuries,266
"Take, O Take",267
A Madrigal,267
Amiens' Song,268
Dawn Song,268
Dirge of Love,268
Fidele's Dirge,269
A Sea Dirge,270
"Sonnets, 18, 29, 30, 31, 32, 33, 54, 55, 57, 60, 64, 65, 66, 71, 73, 87, 90, 94, 97, 98, 104, 106, 107, 109, 110, 111, 116, 129, 146, 148",270-282
Robert Greene,
Content,282
Richard Barnfield,
The Nightingale,283
Thomas Campion,
Cherry-ripe,284
Follow your Saint,284
When to Her Lute Corinna Sings,285
Follow thy Fair Sun,285
Turn All thy Thoughts to Eyes,286
Integer Vitae,286
"Robert Devereux, Earl of Essex",
A Passion of my Lord of Essex,287
Sir Henry Wotton,
Elizabeth of Bohemia,287
Character of a Happy Life,288
"Edward de Vere, Earl of Oxford",
A Renunciation,289
Ben Jonson,
Simplex Munditiis,290
The Triumph,290
The Noble Nature,291
To Celia,291
A Farewell to the World,292
A Nymph's Passion,293
Epode,294
Epitaph on Elizabeth L. H.,297
"On Lucy, Countess of Bedford",297
An Ode to Himself,298
Hymn to Diana,299
On Salathiel Pavy,299
His Supposed Mistress,300
"To the Memory of My Beloved, The Author, Mr. William Shakespeare, and what he hath Left Us",301
John Donne,
The Funeral,303
A Hymn to God the Father,304
"Valediction, Forbidding Mourning",304
Death,305
The Dream,306
Song,307
"Sweetest Love, I do not Go",307
Lover's Infiniteness,308
Love's Deity,309
"Stay, O Sweet",310
The Blossom,311
The Good Morrow,312
Present in Absence,313
Joshua Sylvester,
Love's Omnipresence,314
"William Alexander, Earl of Stirline",
To Aurora,314
Richard Corbet,
"Farewell, Rewards and Fairies",315
Thomas Heywood,
"Pack, Clouds, Away",316
Thomas Dekker,
Country Glee,317
Cold's the Wind,318
O Sweet Content,318
Francis Beaumont,
On the Tombs in Westminster Abbey,319
Master Francis Beaumont's Letter to Ben Jonson,319
John Fletcher,
Aspatia's Song,321
Melancholy,322
John Webster,
Call for the Robin-Redbreast,322
Anonymous,
"O Waly, Waly",323
Helen of Kirconnell,324
My Love in Her Attire,325
Love Not Me,325
William Drummond,
Saint John Baptist,326
Madrigal,326
Life,327
Human Folly,327
The Problem,327
To His Lute,328
For the Magdalene,328
Content and Resolute,329
"Alexis, Here She Stayed; Among These Pines",329
Summons to Love,329
George Wither,
I Loved a Lass,331
The Lover's Resolution,332
William Browne (?),
On the Countess Dowager of Pembroke,333
Robert Herrick,
Cherry-Ripe,334
A Child's Grace,334
The Mad Maid's Song,334
To the Virgins,335
To Dianeme,336
A Sweet Disorder,336
Whenas in Silks,336
To Anthea who may Command Him Any Thing,337
To Daffodils,337
To Blossoms,338
Corinna's Maying,339
Francis Quarles,
An Ecstasy,341
George Herbert,
Love—Virtue—The Elixir—The Collar—The Flower—Easter Song—The Pulley,341-346
Henry Vaughan,
Beyond the Veil—The Retreat,346-348
"Francis Bacon, Viscount St. Alban",
Life,348
James Shirley,
The Glories of our Blood and State,349
The Last Conqueror,350
Thomas Carew,
"The True Beauty—Ask Me No More—Know, Celia—Give Me More Love",351-353
Sir John Suckling,
The Constant Lover—Why So Pale and Wan,353-354
Sir William D'Avenant,
Dawn Song,354
Richard Lovelace,
"To Lucasta, on Going to the Wars",354
To Althea from Prison,355
"To Lucasta, Going Beyond the Seas",356
Edmund Waller,
"On a Girdle—Go, Lovely Rose!",357-358
William Cartwright,
On the Queen's Return from the Low Countries,358
"James Graham, Marquis of Montrose",
My Dear and Only Love,358
Richard Crashaw,
Wishes for the Supposed Mistress,359
Upon the Book and Picture of the Seraphical Saint Teresa,363
Thomas Jordan,
Let Us Drink and Be Merry,364
Abraham Cowley,
A Supplication,365
"Cheer Up, My Mates",366
Drinking,366
