title,author,page_number
Across the Fields to Anne,Richard Burton,84
After a Dolmetsch Concert,Arthur Upson,181
Agamede's Song,Arthur Upson,32
As I came down from Lebanon,Clinton Scollard,99
As in the Midst of Battle there is Room,George Santayana,153
"Ashes in the Sea, The",George Sterling,170
At Gibraltar,George Edward Woodberry,11
At the End of the Day,Richard Hovey,183
"Automobile, The",Percy MacKaye,8
Azrael,Robert Gilbert Welsh,167
Bacchus,Frank Dempster Sherman,30
Bag-Pipes at Sea,Clinton Scollard,49
Ballade of my Lady's Beauty,Joyce Kilmer,69
Be still,Trumbull Stickney,58
Black Sheep,Richard Burton,135
"Black Vulture, The",George Sterling,8
"Boy from Rome, Da",Thomas Augustine Daly,108
"Buried City, The",George Sylvester Viereck,59
Calverly's,Edwin Arlington Robinson,160
"Candle and the Flame, The",George Sylvester Viereck,131
Candlemas,Alice Brown,25
"Caravan from China comes, A",Richard Le Gallienne,98
Chavez,Mildred McNeal Sweeney,9
"Cloud, The",Josephine Preston Peabody,127
Comrades,Richard Hovey,159
Comrades,George Edward Woodberry,157
"Daguerreotype, The",William Vaughn Moody,41
Departure,Hermann Hagedorn,172
"Dreamer, The",Nicholas Vachel Lindsay,97
"Dust Dethroned, The",George Sterling,102
"Eagle that is forgotten, The",Nicholas Vachel Lindsay,113
Euchenor Chorus,Arthur Upson,12
Evensong,Ridgely Torrence,62
Ex Libris,Arthur Upson,153
Exordium,George Cabot Lodge,118
"Faun in Wall Street, A",John Myers O'Hara,125
Fiat Lux,Lloyd Mifflin,97
"Flight, The",Lloyd Mifflin,168
Four Winds,Sara Teasdale,82
"""Frost To-Night.""",Edith M. Thomas,193
"Frozen Grail, The",Elsa Barker,119
"Fugitives, The",Florence Wilkinson,110
Gloucester Moors,William Vaughn Moody,4
Golden Pulse,John Myers O'Hara,63
"Grandmither, think not I forget",Willa Sibert Cather,75
"Grey Rocks, and Greyer Sea",Charles G. D. Roberts,74
"Grieve not, Ladies",Anna Hempstead Branch,70
"Happiest Heart, The",John Vance Cheney,122
Harps hung up in Babylon,Arthur Colton,66
He whom a Dream hath possessed,Shaemas O Sheel,14
"Heart's Country, The",Florence Wilkinson,50
Here is the Place where Loveliness keeps House,Madison Cawein,27
Hora Christi,Alice Brown,200
"House and the Road, The",Josephine Preston Peabody,86
I know not why,Morris Rosenfeld,198
I shall not care,Sara Teasdale,72
I would I might forget that I am I,George Santayana,177
"Inverted Torch, The",Edith M. Thomas,174
"Invisible Bride, The",Edwin Markham,173
Irish Peasant Song,Louise Imogen Guiney,80
"Joy of the Hills, The",Edwin Markham,185
Joyous-Gard,"Thomas S. Jones, Jr.",51
Kinchinjunga,Cale Young Rice,103
"Kings, The",Louise Imogen Guiney,15
"Leetla Boy, Da",Thomas Augustine Daly,31
"Lesser Children, The",Ridgely Torrence,186
Let me no more a Mendicant,Arthur Colton,136
Life,John Hall Wheelock,35
"Lincoln, the Man of the People",Edwin Markham,137
Little Gray Songs from St. Joseph's,Grace Fallow Norton,78
Live blindly,Trumbull Stickney,67
Lord of my Heart's Elation,Bliss Carman,3
Love came back at Fall o' Dew,Lizette Woodworth Reese,73
Love knocks at the Door,John Hall Wheelock,130
Love Triumphant,Frederic Lawrence Knowles,57
Love's Ritual,Charles Hanson Towne,74
Love's Springtide,Frank Dempster Sherman,68
"Man with the Hoe, The",Edwin Markham,116
Martin,Joyce Kilmer,151
"Massa ob de Sheepfol', De",Sarah Pratt McLean Greene,134
"Master, The",Edwin Arlington Robinson,139
May is building her House,Richard Le Gallienne,26
"Memorial Tablet, A",Florence Wilkinson,114
Miniver Cheevy,Edwin Arlington Robinson,182
Mockery,Louis Untermeyer,16
Mother,Theresa Helburn,88
"Mystic, The",Witter Bynner,126
"Mystic, The",Cale Young Rice,175
"New Life, The",Witter Bynner,151
"Nightingale unheard, The",Josephine Preston Peabody,52
Night's Mardi Gras,Edward J. Wheeler,175
"Ode in Time of Hesitation, An",William Vaughn Moody,17
Of Joan's Youth,Louise Imogen Guiney,72
On a Fly-Leaf of Burns' Songs,Frederic Lawrence Knowles,182
On a Subway Express,Chester Firkins,7
On the Building of Springfield,Nicholas Vachel Lindsay,141
Once,Trumbull Stickney,129
Only of thee and me,Louis Untermeyer,56
"Only Way, The",Louis V. Ledoux,100
"Outer Gate, The",Nora May French,170
"Parting Guest, A",James Whitcomb Riley,201
"Path to the Woods, The",Madison Cawein,87
"Poet, The",Mildred McNeal Sweeney,154
"Poet's Town, The",John G. Neihardt,143
"Prince, The",Josephine Dodge Daskam,81
"Quiet Singer, The",Charles Hanson Towne,179
"Recessional, The",Charles G. D. Roberts,196
Renascence,Edna St. Vincent Millay,89
"Rhyme of Death's Inn, A",Lizette Woodworth Reese,169
"Ride to the Lady, The",Helen Gray Cone,60
"Rival, The",James Whitcomb Riley,169
"Rosary, The",Robert Cameron Rogers,129
Sappho,Sara Teasdale,64
Scum o' the Earth,Robert Haven Schauffler,105
