title,page_number
The Poets,41
Of Course I Prayed—,41
There is No Frigate Like a Book,42
I Had Been Hungry All the Years,42
The Heart Asks Pleasure First,42
My Life Closed Twice Before Its Close,43
I Cannot Live with You,43
There's a Certain Slant of Light,45
I Heard a Fly Buzz When I Died,45
I Measure Every Grief I Meet,46
The Brain Is Wider Than the Sky,47
Bring Me the Sunset in a Cup,47
A Bird Came Down the Walk,48
I Taste a Liquor Never Brewed,48
Elysium Is As Far,49
I Never Saw a Moor,49
I Never Lost As Much,49
Indian Summer,50
I Died for Beauty,50
Mysteries,51
The Sky Is Low,51
I Like to See It Lap the Miles,51
The Tint I Cannot Take Is Best,52
I Dreaded That First Robin So,53
The Soul Selects,54
After Great Pain a Formal Feeling Comes,54
A Cemetery,54
Ample Make This Bed,55
Although I Put Away His Life,55
The World Feels Dusty,56
Danger,57
My Strawberry,58
Emigravit,58
Memory,60
Enamored Architect of Airy Rhyme,61
Identity,61
Realism,61
Waiting,62
Jim Bludso,64
Banty Tim,65
My Maryland,67
Jim,70
Plain Language from Truthful James,72
What the Bullet Sang,74
The Aged Stranger,74
By the Pacific Ocean,77
Crossing the Plains,78
From Byron,78
The Arctic Moon,79
Opportunity,80
Solitude,81
Dare You?,81
The Fool's Prayer,82
Song of the Chattahoochee,84
Night and Day,86
From The Marshes of Glynn,86
Song for The Jacquerie,88
A Ballad of the Trees and the Master,89
The Plaint of the Camel,90
Robinson Crusoe's Story,91
Sesostris,93
The Harvest Waits,93
When the Frost Is on the Punkin,95
A Parting Guest,96
Our Two Opinions,97
Little Boy Blue,98
Seein' Things,99
To His Book,100
A Counterblast Against Garlic,101
Outwitted,103
The Man with the Hoe,103
Preparedness,105
"Lincoln, the Man of the People",105
Sunrise,107
The Desert,107
First Snow,108
Blessing the Dance,109
De Fust Banjo,110
Frost Tonight,112
Behold the Deeds!,113
A Pitcher of Mignonette,115
Tears,116
Spicewood,117
Spring Ecstasy,117
Ownership,118
A Puritan Lady,118
A Flower of Mullein,119
Wild Cherry,119
Old Saul,120
Women,121
Surety,121
Crows,122
"How are you, dear world, this morning?",123
At Midnight,125
