title,page_number
A Foreword,v
Preface,3
Christina Rossetti (1830-1894),19
A Birthday,24
The Irresponsive Silence of the Land,24
The Bourne,24
Come Back to Me,24
Mirage,24
Dream Land,25
If There Be Anyone,25
"When I Am Dead, My Dearest",25
Remember Me When I Am Gone Away,26
"O Earth, Lie Heavily upon Her Eyes",26
Dream-Love,26
Sing-Song,27
Echo,28
Passing Away,29
Marvel of Marvels,29
A Christmas Carol,30
From House to Home,30
T. E. Brown (1830-1897),34
I Bended unto Me,35
Vespers,35
Per Omnia Deus,36
Disguises,36
Dora,36
Juventa Perennis,36
My Garden,36
The Schooner,37
Lewis Carroll (1832-1898),37
Jabberwocky,38
The Walrus and the Carpenter,39
The Crocodile,40
Father William,40
Metamorphoses,41
The Baker's Tale,41
William Morris (1834-1896),43
Love Is Enough,44
The Gilliflower of Gold,45
Shameful Death,45
The Haystack in the Floods,46
James Thomson (1834-1882),48
As I Came Through the Desert,49
Melancholia,51
The Vine,52
W. S. Gilbert (1836-1911),52
Recitation and Song,53
The House of Peers,55
To the Terrestrial Globe,55
The Rival Curates,55
Gentle Alice Brown,56
The Periwinkle Girl,58
Algernon Charles Swinburne (1837-1909),59
The Garden of Proserpine,62
Itylus,63
A Leave-Taking,64
"From ""The Triumph of Time""",65
"From ""Hymn to Proserpine""",66
Rondel,68
A Ballade of Dreamland,68
A Forsaken Garden,69
Madonna Mia,71
Chorus,72
When the Hounds of Spring,72
Hertha,73
Thomas Hardy (1840-1928),76
"In Time of ""The Breaking of Nations""",78
The Darkling Thrush,78
The Man He Killed,79
In the Servants' Quarters,79
Neutral Tones,80
New Year's Eve,80
The Night of Trafalgár,81
Weathers,81
"""Ah, Are You Digging on My Grave?""",81
"Five ""Satires of Circumstance""",82
In Church,82
By Her Aunt's Grave,82
At the Altar-Rail,83
In the Restaurant,83
At the Draper's,83
Afterwards,84
Birds at Winter Nightfall,84
Winter in Durnover Field,84
The Roman Road,85
My Spirit Will Not Haunt the Mound,85
