author,title,page
,Introduction,xxxv
,Introduction to the Present Edition,xlv
Conrad Aiken,He Imagines that his Puppet has a Dream and Hears Voices,1
Conrad Aiken,Portrait of One Dead,6
Zoe Akins,The Tragedienne,8
Zoe Akins,I Am the Wind,8
Zoe Akins,Conquered,9
Zoe Akins,The Wanderer,9
Richard Aldington,The Poplar,9
Richard Aldington,Lesbia,10
Richard Aldington,"Images, I-VI",11
Richard Aldington,Choricos,12
Mary Aldis,Barberries,14
Mary Aldis,When You Come,15
Mary Aldis,"Flash-lights, I-III",16
Sherwood Anderson,Song of Industrial America,17
Sherwood Anderson,Chicago,20
Sherwood Anderson,Evening Song,21
Sherwood Anderson,American Spring Song,21
Sherwood Anderson,A Visit,22
Walter Conrad Arensberg,Voyage a l'Infini,23
Walter Conrad Arensberg,At Daybreak,23
Walter Conrad Arensberg,To Hasekawa,24
Walter Conrad Arensberg,Dialogue,24
Walter Conrad Arensberg,Song of the Souls Set Free,25
Mary Austin,The Eagle's Song,25
Wilton Agnew Barrett,A New England Church,26
Joseph Warren Beach,Rue Bonaparte,27
Joseph Warren Beach,The View at Gunderson's,28
William Rose Benet,The Falconer of God,29
William Rose Benet,The Horse Thief,30
Maxwell Bodenheim,The Rear Porches of an Apartment-building,34
Maxwell Bodenheim,The Interne,35
Maxwell Bodenheim,The Old Jew,35
Maxwell Bodenheim,The Miner,35
Maxwell Bodenheim,To an Enemy,36
Maxwell Bodenheim,To a Discarded Steel Rail,36
Maxwell Bodenheim,Love,36
Maxwell Bodenheim,Songs to a Woman I-II,36
Maxwell Bodenheim,Death,37
Maxwell Bodenheim,Impulsive Dialogue,37
Gordon Bottomley,Night and Morning Songs: My Moon,40
Gordon Bottomley,Night and Morning Songs: Elegiac Mood,40
Gordon Bottomley,Night and Morning Songs: Dawn,41
Rupert Brooke,Retrospect,41
Rupert Brooke,Nineteen-Fourteen: I. Peace,42
Rupert Brooke,Nineteen-Fourteen: II. Safety,43
Rupert Brooke,Nineteen-Fourteen: III. The Dead,43
Rupert Brooke,Nineteen-Fourteen: IV. The Dead,44
Rupert Brooke,Nineteen-Fourteen: V. The Soldier,44
Witter Bynner,Grass-tops,45
Witter Bynner,Dream,45
Witter Bynner,To Celia: Consummation,46
Witter Bynner,To Celia: Night,47
Witter Bynner,To Celia: During a Chorale by Cesar Franck,47
Witter Bynner,To Celia: Songs Ascending,48
Witter Bynner,Grieve not for Beauty,49
Joseph Campbell,At Harvest,51
Joseph Campbell,On Waking,52
Joseph Campbell,The Old Woman,53
Nancy Campbell,The Apple-Tree,54
Nancy Campbell,The Monkey,54
Emanuel Carnevali,In His Hotel,55
Emanuel Carnevali,Sermon,56
Emanuel Carnevali,Invocation to Death,57
Willa Sibert Cather,"The Palatine (In the ""Dark Ages."")",58
Willa Sibert Cather,Spanish Johnny,59
Padraic Colum,Polonius and the Ballad Singers,60
Padraic Colum,The Sea Bird to the Wave,63
Padraic Colum,Old Men Complaining,64
Padraic Colum,A Drover,66
Padraic Colum,An Old Woman of the Roads,67
Padraic Colum,The Wild Ass,68
Grace Hazard Conkling,Refugees (Belgium-1914),69
Grace Hazard Conkling,"""The Little Rose is Dust, My Dear""",70
Grace Hazard Conkling,Guadalupe,70
Hilda Conkling,A Little Girl's Songs: Tired,71
Hilda Conkling,A Little Girl's Songs: Water,71
Hilda Conkling,A Little Girl's Songs: Thunder Shower,71
Hilda Conkling,A Little Girl's Songs: Morning,71
Hilda Conkling,A Little Girl's Songs: Poplars,72
Hilda Conkling,A Little Girl's Songs: Yellow Summer-throat,72
Hilda Conkling,A Little Girl's Songs: Night Goes Rushing By,72
Hilda Conkling,A Little Girl's Songs: Snow-flake Song,73
Hilda Conkling,A Little Girl's Songs: Poems,73
Hilda Conkling,A Little Girl's Songs: My Mind and I,73
Hilda Conkling,A Little Girl's Songs: Lilacs,74
Hilda Conkling,A Little Girl's Songs: Butterfly,74
