title,page
Anonymous. XIII-XIV Century,1-10
"Robert Mannyng of Brunne. b. 1260, d. 1349",10
John Barbour. d. 1395,10-11
"Geoffrey Chaucer. b.? 1340, d. 1400",11-14
"Thomas Hoccleve. b. 1368-9, d. ?1450",14-15
"John Lydgate. b. ?1370, d. ?1450",15
"King James I of Scotland. b. 1394, d. 1437",15
"Robert Henryson. b. 1425, d. 1500",16-25
"William Dunbar. b. 1465, d. ?1520",25-33
Anonymous. XV-XVI Century,33-57
"John Skelton. b.?1460, d. 1529",57-59
Stephen Hawes. d. 1523,59-60
"Sir Thomas Wyatt. b. 1503, d. 1542",60-65
"Henry Howard, Earl of Surrey. b. 1516, d. 1547",65-68
"Nicholas Grimald. b. 1519, d. 1562",68-69
"Alexander Scott. b.?1520, d. 158-",69-71
Robert Wever. c. 1550,72
"Richard Edwardes. b. 1523, d. 1566",72-73
"George Gascoigne. b. ?1525, d. 1577",74-75
"Alexander Montgomerie. b. ?1540, d. ?1610",75-77
"William Stevenson. b. 1530, d. 1575",77-78
Anonymous. XVI-XVII Century,79-99
"Nicholas Breton. b. 1542, d. 1626",100-102
"Sir Walter Raleigh. b. 1552, d. 1618",102-104
"Edmund Spenser. b. 1552, d. 1599",104-129
"John Lyly. b. 1553, d. 1606",129-130
"Anthony Munday. b. 1553, d. 1633",130
"Sir Philip Sidney. b. 1554, d. 1586",131-136
"Fulke Greville, Lord Brooke. b. 1554, d. 1628",136-137
"Thomas Lodge. b. ?1556, d. 1625",137-141
"George Peele. b. ?1558, d. 1597",141-143
"Robert Greene. b. 1560, d. 1592",143-145
"Alexander Hume. b. 1560, d. 1609",146-150
"George Chapman. b. 1560, d. 1634",150
"Robert Southwell. b. 1561, d. 1595",151-153
"Henry Constable. b. ?1562, d. ?1613",153
"Samuel Daniel. b. 1562, d. 1619",153-159
"Mark Alexander Boyd. b. 1563, d. 1601",160
"Joshua Sylvester. b. 1563, d. 1618",160-161
"Michael Drayton. b. 1563, d. 1631",161-173
"Christopher Marlowe. b. 1564, d. 1593",173-174
"Sir Walter Raleigh. b. 1552, d. 1618",174-175
"William Shakespeare. b. 1564, d. 1616",175-200
"Richard Rowlands. b. 1565, d. ?1630",200-201
"Thomas Nashe. b. 1567, d. 1601",201-203
"Thomas Campion. b. ?1567, d. 1619",203-209
John Reynolds. XVI Century,209-210
"Sir Henry Wotton. b. 1568, d. 1639",210-212
"Sir John Davies. b. 1569, d. 1626",212-213
"Sir Robert Ayton. b. 1570, d. 1638",213-215
"Ben Jonson. b. 1573, d. 1637",215-225
"John Donne. b. 1573, d. 1631",225-231
"Richard Barnefield. b. 1574, d. 1627",232
"Thomas Dekker. b. 1575, d. 1641",233
"Thomas Heywood. b. ?157-, d. 1650",233-235
"John Fletcher. b. 1579, d. 1625",235-241
