title,author,page_number
Abraham Lincoln walks at Midnight,Vachel Lindsay,157
Acceptance,Willard Wattles,26
Ad Matrem Amantissimam et Carissimam Filii in Æternum Fidelitas,John Myers O'Hara,203
After Apple-Picking,Robert Frost,185
After Sunset,Grace Hazard Conkling,86
Afternoon on a Hill,Edna St. Vincent Millay,84
Afterwards,Mahlon Leonard Fisher,203
Ambition,Aline Kilmer,127
"Ancient Beautiful Things, The",Fannie Stearns Davis,128
Apology,Amy Lowell,178
April on the Battlefields,Leonora Speyer,168
April — North Carolina,Harriet Monroe,14
Atropos,John Myers O'Hara,213
Autumn,Jean Starr Untermeyer,186
Autumn Movement,Carl Sandburg,188
Ballad of a Child,John G. Neihardt,124
Behind the House is the Millet Plot,Muna Lee,182
Berkshires in April,Clement Wood,6
Beyond Rathkelly,Francis Carlin,78
Birches,Robert Frost,91
"Bitter Herb, The",Jeanne Robert Foster,181
Blind,Harry Kemp,13
Blue Squills,Sara Teasdale,8
"Breaking, The",Margaret Steele Anderson,29
Chanson of the Bells of Osenèy,Cale Young Rice,25
"Chant of the Colorado, The",Cale Young Rice,96
"Child in Me, The",May Riley Smith,141
"Chinese Nightingale, The",Vachel Lindsay,37
Choice,Angela Morgan,75
Cinquains,Adelaide Crapsey,206
"City, The",Charles Hanson Towne,94
City Roofs,Charles Hanson Towne,55
Compensation,William Ellery Leonard,65
Convention,Agnes Lee,111
Cradle Song,Josephine Preston Peabody,121
"Dark Cavalier, The",Margaret Widdemer,199
"Day before April, The",Mary Carolyn Davies,6
Days,Karle Wilson Baker,82
Death — Divination,Charles Wharton Stork,201
Dialogue,Walter Conrad Arensberg,180
Dilemma,Orrick Johns,31
Doors,Hermann Hagedorn,198
Dream,Anna Hempstead Branch,20
"Dream of Aengus Og, The",Eleanor Rogers Cox,73
Dusk at Sea,"Thomas S. Jones, Jr.",51
Earth,John Hall Wheelock,9
Earth's Easter,Robert Haven Schauffler,169
Ellis Park,Helen Hoyt,82
"Enchanted Sheepfold, The",Josephine Preston Peabody,67
Envoi,Josephine Preston Peabody,119
