title,page_number
INTRODUCTION,XV
COTTON MATHER,1
On the Death of his Son,14
On the Death of his Daughter,14
Lines to the Memory of Wilson,15
Lines to the Memory of Thompson,17
ROGER WOLCOTT,19
Brief Account of the Agency of the Hon. John Winthrop,21
MICHAEL WIGGLESWORTH,35
Vanity of Vanities,37
The Day of Doom,40
BENJAMIN COLMAN,49
On Elijah's Translation,55
JANE TURELL,61
Paraphrase of the 134th Psalm,62
To my Muse,63
On the Poems of Sir Richard Blackmore,64
An Invitation into the Country,65
JOHN ADAMS,67
Address to the Supreme Being,68
Version of the Apocalypse,69
Translation of an Ode of Horace,72
JAMES RALPH,74
"Zeuma, or the Love of Liberty",76
JOHN MAYLEM,83
The Conquest of Louisbourg,83
THOMAS GODFREY,88
The Court of Fancy,91
Epistle to a Friend,103
NATHANIEL EVANS,104
Epistolary Ode to a Friend,106
Ode on the Prospect of Peace,107
Ode to Godfrey,112
Hymn to May,113
Verses for the New Year,115
Elegy to the Memory of Godfrey,117
JOHN OSBORN,118
A Whaling Song,120
Elegiac Epistle,122
MATHER BYLES,124
The Conflagration,126
The God of Tempest and Earthquake,129
Elegy,131
Hymn written during a Voyage,132
JOSEPH GREEN,133
Lines on Byles's Voyage,135
On the Death of Mr Old Tenor,136
Fragments,139
WILLIAM LIVINGSTON,139
Philosophic Solitude,140
BENJAMIN CHURCH,145
The Times,149
Lines on the Accession of George II.,156
JAMES ALLEN,160
Lines on the Massacre,162
The Retrospect,165
Inscription for the Monument on Beacon Hill,170
On Washington's Visit to Boston,171
BENJAMIN FRANKLIN,173
Paper,173
JOHN TRUMBULL,175
M'Fingal--Canto III,184
JONATHAN MITCHEL SEWALL,198
War and Washington,199
FRANCIS HOPKINSON,201
The Battle of the Kegs,202
Songs,205
Lines on the Quarrel among the Students in Anatomy in Philadelphia,207
ANN ELIZA BLEECKER,211
To Miss Ten Eyck,213
To Mr Bleecker,214
An Evening Prospect,216
Peace,217
Return to Tomhanick,218
MARGARETTA V. FAUGERES,221
The Hudson,221
On a Painter,223
TIMOTHY DWIGHT,223
The Destruction of the Pequods,232
The Farmer's Advice to the Villagers,237
Columbia,246
The Critics,247
The Worship of the Gibeonites,251
Battle before the Walls of Ai,253
Evening after a Battle,255
Procession of Israelitish Virgins,256
Lamentation of Selima,257
DAVID HUMPHREYS,259
Address to the Armies of the United States,261
The Monkey who shaved Himself and his Friends,271
LEMUEL HOPKINS,272
The Anarchiad,274
On a Patient killed by a Cancer Quack,281
The Hypocrite's Hope,283
PHILIP FRENEAU,285
The Dying Indian,286
The Wild Honeysuckle,287
The Man of Ninety,288
The Indian Student,290
The Hurricane,292
The Five Ages,293
Epistle to a Young Lady,295
The Indian Burying Ground,295
To the Memory of the Americans who fell in the Battle of Eutaw,296
Port Royal,297
ELIJAH FITCH,300
The Beauties of Religion,300
SARAH PORTER,301
The Royal Penitent,301
WILLIAM M. SMITH,305
The Fall of Zampor,306
Ode to Meditation,308
Lampoon,311
JOHN D. M'KINNON,312
The Mohawk,312
SAMUEL LOW,318
Winter,318
To a Violet,323
To a Segar,323
To the Genius of Poetry,323
BENJAMIN PRATT,324
Death,324
JOSEPH LATHROP,326
The Existence of a Deity,326
STEPHEN SEWALL,328
On the Death of George II,328
JAMES BOWDOIN,330
Woman,330
JOHN LOWELL,332
Lines,333
PETER OLIVER,333
Lines,334
WILLIAM LADD,334
Arouet to Amanda,338
Remonstrance of Almasa Allicawn to Warren Hastings,339
The War-horse,339
Retirement,340
What is Happiness?,342
EDWARD CHURCH,343
The Dangerous Vice *********,343
SAMUEL EWING,347
Reflections in Solitude,347
ST GEORGE TUCKER,349
Stanzas,349
J. HOPKINSON,350
Hail Columbia,350
RICHARD B. DAVIS,351
To a sleeping Infant,352
Thou art the Muse,352
To Emma,353
